loading telemetry 2026-04-11 .. 2026-08-31 ...
1682125 relay edges, 195295 telemetry minutes
221 idle windows >= 60 min

window start (UTC)      hours       Q     R2  grad0  grad1   pts
2026-04-11 17:28         2.36   3.317  0.517   7.96   1.76   122
2026-04-11 20:58        39.91   0.673  0.023   2.28   1.41   754
2026-04-13 21:04        16.28  -0.049  0.000   0.46   1.09   450
2026-04-14 13:24         2.04   0.166  0.001   1.32   1.54   114
2026-04-14 17:59        76.32   0.850  0.048   2.95   0.52  1293
2026-04-18 01:30        15.01  -1.176  0.518   1.70   4.19   112
2026-04-18 19:50         3.84   3.622  0.880   3.90   0.69   132
2026-04-19 00:34        11.94  -0.228  0.008   1.09   1.01   680
2026-04-20 02:15        13.09  -1.240  0.207   1.29   1.64   217
2026-04-20 15:27         1.34   0.034  0.000   2.03   2.57    60
2026-04-20 18:36        35.51   0.734  0.087   2.61   1.30   631
2026-04-22 06:12        11.20   0.798  0.198   2.04   1.60   239
2026-04-22 17:28        18.78   0.496  0.080   1.84   1.06   331
2026-04-24 23:08        14.80  -1.570  0.398   1.78   1.96   149
2026-04-25 18:32         4.11   1.681  0.705   3.43   1.13   182
2026-04-25 22:42        15.36   1.684  0.478   1.38   1.51    70
2026-04-26 17:08         2.70   4.674  0.633   4.18   2.44   153
2026-04-26 21:41         2.46   1.552  0.815   2.59   1.69   139
2026-04-27 01:48         1.03   0.940  0.853   1.48   1.28    52
2026-04-27 02:53        16.53  -0.045  0.001   1.39   0.43   278
2026-04-27 20:22         4.33   3.605  0.635   1.16   0.60   251
2026-04-28 00:49         1.57   3.415  0.924   0.75   0.35    85
2026-04-28 05:41         4.30   2.678  0.473   0.79   0.57   249
2026-04-29 05:04         1.10   0.498  0.924   2.63   2.33    57
2026-04-29 06:15         1.28   0.828  0.928   2.51   1.92    68
2026-04-29 07:37         1.51   0.869  0.924   2.10   1.58    74
2026-04-29 09:14         1.51   0.743  0.580   1.77   1.43    81
2026-04-29 20:23         2.52   2.390  0.916   4.17   1.31   131
2026-04-29 23:01         1.05   1.866  0.965   1.55   1.65    54
2026-04-30 02:14         1.02   1.267  0.980   2.14   2.04    52
2026-04-30 07:33         2.37   0.952  0.831   2.89   2.33   112
2026-04-30 17:12         1.09   1.006  0.948   8.72   6.86    32
2026-04-30 20:15         1.23   3.605  0.959   5.51   2.83    54
2026-05-01 18:50         2.95   2.299  0.755   2.36   0.45    98
2026-05-01 22:03         1.84   2.533  0.979   0.57   0.19    21
2026-05-04 21:17         5.19   0.315  0.118   3.11   1.94   302
2026-05-08 12:48        28.70   0.335  0.036   0.10   0.52  1667
2026-05-09 21:27        14.97  -0.326  0.015  -0.13   1.14   889
2026-05-11 21:22         2.47   1.409  0.794   1.97   1.52   139
2026-05-12 22:12         8.87   1.903  0.636   1.57   0.96   524
2026-05-14 21:12         2.01   1.981  0.870   1.39   1.06   112
2026-05-15 07:13         1.07   0.236  0.141   1.54   1.52    55
2026-05-16 22:14         1.40   0.274  0.111   1.52   0.89    75
2026-05-17 05:20         7.90  -0.111  0.000   0.07   0.95   465
2026-05-23 18:18        17.38   0.710  0.197   3.95   0.49  1034
2026-05-24 19:36         3.55   1.549  0.632   2.16   1.61   203
2026-05-26 03:43         1.77   0.238  0.077   1.78   1.69    97
2026-05-26 08:16         1.40   0.005  0.000   1.57   1.57    75
2026-05-26 09:55         1.94   0.241  0.016   1.54   0.52   107
2026-05-26 14:20        48.96   0.480  0.015   1.72   1.43  2929
2026-05-28 20:01         3.25   2.083  0.889   1.35   0.62   186
2026-05-28 23:28         2.27   0.939  0.699   0.66   0.64   128
2026-05-30 20:45        21.47  -0.069  0.001   0.75   1.17  1279
2026-05-31 20:46         1.84   2.595  0.946   1.19   0.78   102
2026-05-31 22:57         2.51  -0.406  0.433   0.63   0.84   141
2026-06-01 23:38         3.38   0.399  0.054   0.85   1.12   194
2026-06-02 03:43         7.77   0.113  0.007   0.94   0.87   457
2026-06-02 20:38         1.07   2.223  0.889   2.39   1.71    55
2026-06-03 20:37        15.67   0.866  0.074   1.24   0.22   931
2026-06-04 19:36        16.78   0.435  0.038   2.44   1.18   997
2026-06-05 20:09         8.24   2.191  0.650   1.91   1.00   485
2026-06-06 07:46         3.81   1.951  0.150   0.91   0.23   220
2026-06-06 20:01        23.44   2.127  0.490   2.36   0.31  1398
2026-06-07 20:34         3.68   1.726  0.608   0.45   0.41   212
2026-06-08 00:25         3.85   0.695  0.165   0.48   0.55   222
2026-06-08 04:26         3.82   0.818  0.351   0.64   0.30   220
2026-06-08 12:25         3.85  -0.915  0.476   0.47   2.68   222
2026-06-08 16:26         3.82   0.450  0.474   2.85   0.97   220
2026-06-08 20:25         3.85   2.723  0.914   1.07   0.11   222
2026-06-09 04:25         3.83   0.994  0.069   0.02   0.77   221
2026-06-09 08:25         3.85   0.749  0.200   0.82   0.13   222
2026-06-09 12:26         3.82  -1.031  0.678   0.23   1.82   220
2026-06-09 22:39         1.60   2.717  0.819   0.80   0.54    87
2026-06-10 00:26         3.82   0.289  0.028   0.64   0.56   220
2026-06-10 04:25         3.85   0.564  0.104   0.64   0.92   222
2026-06-10 08:26         3.52  -1.071  0.115   1.04   1.41   202
2026-06-10 20:25         2.55   1.143  0.895   1.70   1.10   144
2026-06-11 00:26         1.37   1.009  0.650   0.97   0.99    74
2026-06-11 04:56         1.74   0.579  0.560   1.25   0.81    95
2026-06-11 10:44         1.14  -0.471  0.134   0.71   0.32    59
2026-06-11 19:39         1.70   2.019  0.939   1.52   0.90    93
2026-06-11 22:42         9.91   0.567  0.117   0.77   1.36   585
2026-06-12 08:48         2.24   0.081  0.005   1.42   1.42   126
2026-06-12 18:27        20.60   0.555  0.059   1.93   1.15  1227
2026-06-13 21:32        14.97  -1.388  0.026   0.84   0.31   890
2026-06-14 21:21        15.74  -0.100  0.002   1.73   2.11   936
2026-06-15 19:20        16.77   0.780  0.264   3.10   1.09   997
2026-06-16 19:22         1.30   0.880  0.498   2.70   2.34    70
2026-06-16 22:03        14.51   0.679  0.083   1.91   1.54   862
2026-06-17 19:22        17.14   0.478  0.054   2.76   0.94  1019
2026-06-18 23:00        18.35   0.505  0.100   1.60   0.97  1092
2026-06-19 21:08        15.11   0.658  0.044   1.14   0.77   875
2026-06-20 21:23         9.39   0.357  0.078   1.66   1.26   543
2026-06-21 08:01         2.61  -0.087  0.011   1.25   1.16   147
2026-06-21 11:52         1.17  -1.448  0.827   1.21   1.10    61
2026-06-21 19:12         1.04   1.277  0.986   1.93   1.40    54
2026-06-21 21:29         4.99   0.544  0.346   1.24   0.91   290
2026-06-22 03:41         1.67  -0.229  0.164   1.27   1.43    91
2026-06-22 06:36         1.71  -0.392  0.348   1.29   1.64    93
2026-06-22 09:33         1.97  -0.335  0.081   1.45   1.48   109
2026-06-23 20:36         1.07   1.405  0.522   1.85   1.30    55
2026-06-24 00:35         4.12   0.978  0.572   0.93   0.76   239
2026-06-24 06:17         6.86   0.783  0.031   0.80   0.24   403
2026-06-24 21:07        15.91  -3.163  0.224   1.03   2.47   946
2026-06-25 20:44        15.67   0.630  0.019   2.58   2.02   931
2026-06-26 21:34        14.57  -0.240  0.011   1.85   2.00   865
2026-06-27 19:54        17.15   1.304  0.421   4.37   1.08  1020
2026-06-28 19:19        20.79  -2.907  0.371   0.31   2.34  1238
2026-06-29 18:17        17.76   0.222  0.010   2.41   1.88  1053
2026-06-30 18:11         1.50   0.820  0.843   4.48   3.13    81
2026-06-30 20:35        15.36   0.465  0.056   2.65   1.93   913
2026-07-01 17:49         2.51   1.017  0.813   3.70   2.11   142
2026-07-01 21:24         9.78   1.705  0.196   1.38   0.25   578
2026-07-02 17:28        45.16   0.994  0.128   2.73   0.63  2701
2026-07-04 17:55        69.00  -0.232  0.005   1.62   1.59  4130
2026-07-07 21:02         1.91   1.128  0.595   2.40   1.72   106
2026-07-08 00:11         1.17   0.910  0.562   2.08   1.80    61
2026-07-08 02:28         2.98   0.492  0.403   1.75   1.30   170
2026-07-08 09:15         1.34   1.034  0.689   1.55   1.26    71
2026-07-08 19:48         2.44   1.223  0.648   2.82   2.24   138
2026-07-08 23:37         1.03   0.060  0.004   2.79   2.84    53
2026-07-09 05:51         2.20   0.511  0.431   2.12   2.53   123
2026-07-09 09:08         1.30  -0.215  0.240   3.26   3.53    69
2026-07-09 18:14        14.50   1.051  0.715   4.92   0.55   861
2026-07-10 09:27         2.77   0.457  0.006   0.66  -0.04   157
2026-07-10 13:42         2.04  -5.395  0.489  -0.05   0.81   113
2026-07-10 17:05        19.56   1.583  0.443   0.70  -0.55  1165
2026-07-11 17:02        68.53   0.062  0.000   1.72   1.64  3225
2026-07-14 18:07         5.22   1.385  0.769   3.61   0.42   305
2026-07-15 00:23         1.00   3.582  0.862   0.63   0.46    51
2026-07-15 02:44         1.00   1.893  0.678   0.59   0.49    51
2026-07-15 04:40         7.30  -0.353  0.014   0.48   1.08   429
2026-07-15 18:18         4.35   1.617  0.732   4.45   1.15   252
2026-07-16 00:42         1.44   0.530  0.213   1.47   1.43    77
2026-07-16 04:29         2.18   1.176  0.915   2.01   1.52   121
2026-07-16 07:20         1.57   0.875  0.611   1.92   1.87    85
2026-07-16 15:12         1.30   1.120  0.063   2.04  -0.57    69
2026-07-16 17:01         6.33   1.493  0.166  -1.15   0.78   370
2026-07-17 00:27         1.77   1.077  0.382   1.16   0.41    97
2026-07-17 04:54         2.31   2.606  0.856   0.97   0.77   130
2026-07-17 17:06         1.04  -0.340  0.165   3.95   3.82    53
2026-07-17 19:47        19.85   0.715  0.208   4.45  -1.35  1182
2026-07-18 16:50       118.62  -0.010  0.000   0.92   3.24  7078
2026-07-23 17:12        22.30   1.201  0.451   4.67   0.53  1329
2026-07-24 19:38        18.85   0.888  0.047   0.90   0.42  1122
2026-07-25 15:25         3.65   0.263  0.018   0.89   1.11   210
2026-07-25 20:18        16.95   0.353  0.013   0.56  -0.18  1008
2026-07-26 17:41        71.33   0.449  0.026   2.91   2.24  4271
2026-07-29 17:51         1.90   1.297  0.387   1.87   1.17   105
2026-07-29 20:44         5.79  -0.374  0.002   0.72  -0.09   328
2026-07-30 07:03         1.24   2.421  0.844   0.93   0.64    65
2026-07-30 17:09         2.11   1.915  0.948   5.58   2.55   118
2026-07-30 21:28        64.43   0.344  0.006   1.28   1.71  3141
2026-08-02 17:19        22.30   1.915  0.388   4.41   1.50  1330
2026-08-03 17:47        92.81   0.133  0.001   1.78   2.17  5468
2026-08-07 17:46         1.71   0.601  0.302   3.15   2.60    94
2026-08-07 21:44        10.62   2.641  0.643   1.28   0.03   627
2026-08-08 13:16         1.07  -9.636  0.320  -0.25   0.56    55
2026-08-08 15:05         1.20  -2.082  0.321   1.25   1.72    63
2026-08-08 16:57         1.37   1.325  0.468   1.95   2.00    73
2026-08-08 20:04         1.07   2.117  0.978   3.07   2.06    55
2026-08-08 21:47         1.86   1.884  0.860   1.58   0.77    94
2026-08-09 21:55         1.76   1.173  0.774   2.06   1.41    59
2026-08-10 01:40         5.32   0.480  0.143   1.13  -0.46   310
2026-08-10 16:07         1.83   0.332  0.031   2.58   2.10   100
2026-08-10 20:25         1.27   2.463  0.760   1.51   0.96    67
2026-08-11 18:05         1.64   1.163  0.472   2.70   1.99    89
2026-08-11 20:26        18.48   2.798  0.327   1.69   0.83  1100
